,Model,TWOUT,TA ,Cooling Cpacity,Power Input,Fluid Flow rate  (l/s),Fluid Pressure Drop (kPa),Evaporator
1,DAIKIN AIR COOLED  SCREW C20,5,25,1952,581,93,41,5
2,DAIKIN AIR COOLED  SCREW C20,5,30,1900,635,90.5,39,5
3,DAIKIN AIR COOLED  SCREW C20,5,35,1832,696,87.3,37,5
4,DAIKIN AIR COOLED  SCREW C20,5,40,1743,764,83,34,5
5,DAIKIN AIR COOLED  SCREW C20,5,43,1675,809,79.8,31,5
6,DAIKIN AIR COOLED  SCREW C20,5,46,1503,791,71.6,26,5
7,DAIKIN AIR COOLED  SCREW C20,7,25,2049,597,97.8,45,5
8,DAIKIN AIR COOLED  SCREW C20,7,30,1993,654,95.1,43,5
9,DAIKIN AIR COOLED  SCREW C20,7,35,1922,716,91.7,40,5
10,DAIKIN AIR COOLED  SCREW C20,7,40,1827,785,87.2,37,5
11,DAIKIN AIR COOLED  SCREW C20,7,43,1757,831,83.8,34,5
12,DAIKIN AIR COOLED  SCREW C20,7,46,1532,774,73.1,27,5
13,DAIKIN AIR COOLED  SCREW C20,9,25,2148,615,102.6,49,5
14,DAIKIN AIR COOLED  SCREW C20,9,30,2089,673,99.8,47,5
15,DAIKIN AIR COOLED  SCREW C20,9,35,2013,736,96.1,44,5
16,DAIKIN AIR COOLED  SCREW C20,9,40,1913,807,91.4,40,5
17,DAIKIN AIR COOLED  SCREW C20,9,43,1820,844,86.9,37,5
18,DAIKIN AIR COOLED  SCREW C20,9,46,1543,744,73.7,27,5
19,DAIKIN AIR COOLED  SCREW C20,11,25,2249,633,107.5,54,5
20,DAIKIN AIR COOLED  SCREW C20,11,30,2185,692,104.5,51,5
21,DAIKIN AIR COOLED  SCREW C20,11,35,2105,757,100.6,48,5
22,DAIKIN AIR COOLED  SCREW C20,11,40,2000,830,95.6,43,5
23,DAIKIN AIR COOLED  SCREW C20,11,43,1841,823,88,37,5
24,DAIKIN AIR COOLED  SCREW C20,11,46,1572,728,75.2,28,5
25,DAIKIN AIR COOLED  SCREW C20,13,25,2351,651,112.5,58,5
26,DAIKIN AIR COOLED  SCREW C20,13,30,2284,712,109.2,55,5
27,DAIKIN AIR COOLED  SCREW C20,13,35,2198,779,105.1,52,5
28,DAIKIN AIR COOLED  SCREW C20,13,40,2087,854,99.58,47,5
29,DAIKIN AIR COOLED  SCREW C20,13,43,1855,798,88.7,38,5
30,DAIKIN AIR COOLED  SCREW C20,13,46,1564,742,74.8,28,5
31,DAIKIN AIR COOLED  SCREW C20,15,25,2455,670,117.5,63,5
32,DAIKIN AIR COOLED  SCREW C20,15,30,2383,733,114.1,60,5
33,DAIKIN AIR COOLED  SCREW C20,15,35,2292,802,109.7,56,5
34,DAIKIN AIR COOLED  SCREW C20,15,40,2153,866,103.1,50,5
35,DAIKIN AIR COOLED  SCREW C20,15,43,1875,776,89.8,39,5
36,DAIKIN AIR COOLED  SCREW C20,15,46,1583,718,75.8,29,5
37,Vertiv 1MW,10,53,1015,549.95,26.7,,9.11
38,Vertiv 1MW,10,52,1015,527.98,26.7,,9.11
39,Vertiv 1MW,10,51,1015,506.32,26.7,,9.11
40,Vertiv 1MW,10,50,1015,490.17,26.7,,9.11
41,Vertiv 1MW,10,49,1015,473.6,26.7,,9.11
42,Vertiv 1MW,10,48,1015,458.28,26.7,,9.11
43,Vertiv 1MW,10,47,1015,443.99,26.7,,9.11
44,Vertiv 1MW,10,46,1015,420.23,26.7,,9.11
45,Vertiv 1MW,10,45,1015,407.06,26.7,,9.11
46,Vertiv 1MW,10,44,1015,394.79,26.7,,9.11
47,Vertiv 1MW,10,43,1015,383.27,26.7,,9.11
48,Vertiv 1MW,10,42,1015,365.42,26.7,,9.11
49,Vertiv 1MW,10,41,1015,354.79,26.7,,9.11
50,Vertiv 1MW,10,40,1015,344.87,26.7,,9.11
51,Vertiv 1MW,10,39,1015,335.52,26.7,,9.11
52,Vertiv 1MW,10,38,1015,326.75,26.7,,9.11
53,Vertiv 1MW,10,37,1015,318.47,26.7,,9.11
54,Vertiv 1MW,10,36,1015,316.22,26.7,,9.11
55,Vertiv 1MW,10,35,1015,306.95,26.7,,9.11
56,Vertiv 1MW,10,34,1015,298.23,26.7,,9.11
57,Vertiv 1MW,10,33,1015,290.04,26.7,,9.11
58,Vertiv 1MW,10,32,1015,282.3,26.7,,9.11
59,Vertiv 1MW,10,31,1015,270.66,26.7,,9.11
60,Vertiv 1MW,10,30,1015,258.86,26.7,,9.11
61,Vertiv 1MW,10,29,1015,250.8,26.7,,9.11
62,Vertiv 1MW,10,28,1015,244.86,26.7,,9.11
63,Vertiv 1MW,10,27,1015,238.21,26.7,,9.11
64,Vertiv 1MW,10,26,1015,231.86,26.7,,9.11
65,Vertiv 1MW,10,25,1015,225.62,26.7,,9.11
66,Vertiv 1MW,10,24,1015,220.3,26.7,,9.11
67,Vertiv 1MW,10,23,1015,215.23,26.7,,9.11
68,Vertiv 1MW,10,22,1015,210.45,26.7,,9.11
69,Vertiv 1MW,10,21,1015,205.93,26.7,,9.11
70,Vertiv 1MW,10,20,1015,214.1,26.7,,9.11
71,Vertiv 1MW,10,19,1015,209.28,26.7,,9.11
72,Vertiv 1MW,10,18,1015,204.74,26.7,,9.11
73,Vertiv 1MW,10,17,1015,212.29,26.7,,9.11
74,Vertiv 1MW,10,16,1015,194.45,26.7,,9.11
75,Vertiv 1MW,10,15,1015,180,26.7,,9.11
76,Vertiv 1MW,10,14,1015,161.42,26.7,,9.11
77,Vertiv 1MW,10,13,1015,150.96,26.7,,9.11
78,Vertiv 1MW,10,12,1015,130.61,26.7,,9.11
